"index","migration","journal_timestamp","snapshot_chain_valid","replay","added","removed","column_definition_changes","data_statements","explicit_transaction_control","concurrent_index_operation","file"
"10","0010_fields","1786481436354","true","PASS","table:fields; fields.id; fields.slug; fields.display_name; fields.description; fields.module_scope; fields.field_type; fields.options; fields.field_tag; fields.ai_prompt; fields.archived_at; fields.created_at; fields.updated_at","","","true","false","false","packages/db/migrations/0010_fields.sql"
"11","0011_type_editor","1786482049932","true","PASS","table:contract_type_fields; contract_type_fields.contract_type_id; contract_type_fields.field_id; contract_type_fields.display_order; contract_type_fields.is_required; contract_type_fields.created_at; contract_types.description","","","false","false","false","packages/db/migrations/0011_type_editor.sql"
"12","0012_matter_types","1786483851677","true","PASS","table:matter_type_fields; matter_type_fields.matter_type_id; matter_type_fields.field_id; matter_type_fields.display_order; matter_type_fields.is_required; matter_type_fields.created_at; table:matter_types; matter_types.id; matter_types.slug; matter_types.display_name; matter_types.description; matter_types.display_order; matter_types.is_system_default; matter_types.archived_at; matter_types.created_at; matter_types.updated_at","","","true","false","false","packages/db/migrations/0012_matter_types.sql"
"13","0013_type_field_field_id_indexes","1786530235592","true","PASS","","","","false","false","false","packages/db/migrations/0013_type_field_field_id_indexes.sql"
"14","0014_entity_types","1786547744811","true","PASS","table:entity_types; entity_types.id; entity_types.slug; entity_types.display_name; entity_types.description; entity_types.display_order; entity_types.is_system_default; entity_types.archived_at; entity_types.created_at; entity_types.updated_at","","","true","false","false","packages/db/migrations/0014_entity_types.sql"
"15","0015_entities","1786550781239","true","PASS","table:entities; entities.id; entities.legal_name; entities.entity_type_id; entities.jurisdiction; entities.formed_on; entities.registration_number; entities.tax_id; entities.registered_agent; entities.registered_address; entities.status; entities.created_at; entities.updated_at; entities.archived_at","","","false","false","false","packages/db/migrations/0015_entities.sql"
"16","0016_contracts","1786566014456","true","PASS","table:contracts; contracts.id; contracts.number; contracts.title; contracts.contract_type_id; contracts.status_id; contracts.priority; contracts.risk; contracts.description; contracts.created_at; contracts.updated_at; contracts.archived_at","","","false","false","false","packages/db/migrations/0016_contracts.sql"
"17","0017_contract_team","1786569621470","true","PASS","table:contract_team; contract_team.contract_id; contract_team.user_id; contract_team.role; contract_team.created_at; contracts.manager_id","","","false","false","false","packages/db/migrations/0017_contract_team.sql"
"18","0018_contract_signing_entity","1786572699619","true","PASS","contracts.entity_id","","","false","false","false","packages/db/migrations/0018_contract_signing_entity.sql"
"19","0019_counterparties","1786575433642","true","PASS","table:contract_counterparties; contract_counterparties.contract_id; contract_counterparties.counterparty_id; contract_counterparties.is_primary; contract_counterparties.created_at; table:counterparties; counterparties.id; counterparties.name; counterparties.jurisdiction; counterparties.primary_contact_name; counterparties.primary_contact_email; counterparties.address; counterparties.notes; counterparties.created_at; counterparties.updated_at; counterparties.archived_at","","","false","false","false","packages/db/migrations/0019_counterparties.sql"
"20","0020_contract_value","1786578598089","true","PASS","contracts.value_amount; contracts.value_currency; contracts.value_cadence","","","false","false","false","packages/db/migrations/0020_contract_value.sql"
"21","0021_contract_value_bound","1786580681348","true","PASS","","","","false","false","false","packages/db/migrations/0021_contract_value_bound.sql"
"22","0022_contract_custom_fields","1786581450911","true","PASS","contracts.custom_fields","","","false","false","false","packages/db/migrations/0022_contract_custom_fields.sql"
"23","0023_comments","1786617355311","true","PASS","table:comments; comments.id; comments.entity_type; comments.entity_id; comments.author_id; comments.body; comments.visibility; comments.edited_at; comments.deleted_at; comments.created_at; comments.updated_at","","","false","false","false","packages/db/migrations/0023_comments.sql"
"24","0024_comment_mentions","1786621211673","true","PASS","table:comment_mentions; comment_mentions.comment_id; comment_mentions.user_id","","","false","false","false","packages/db/migrations/0024_comment_mentions.sql"
"25","0025_comment_revisions","1786626379156","true","PASS","table:comment_revisions; comment_revisions.id; comment_revisions.comment_id; comment_revisions.body; comment_revisions.replaced_at; comments.redacted_at","","","false","false","false","packages/db/migrations/0025_comment_revisions.sql"
"26","0026_comment_last_read","1786629029580","true","PASS","table:comment_last_read; comment_last_read.user_id; comment_last_read.entity_type; comment_last_read.entity_id; comment_last_read.read_at","","","false","false","false","packages/db/migrations/0026_comment_last_read.sql"
"27","0027_audit_log_created_at_idx","1786640218702","true","PASS","","","","false","false","false","packages/db/migrations/0027_audit_log_created_at_idx.sql"
"28","0028_contract_confidential","1786650506463","true","PASS","contracts.is_confidential","","","false","false","false","packages/db/migrations/0028_contract_confidential.sql"
"29","0029_documents","1786691613158","true","PASS","table:document_versions; document_versions.id; document_versions.document_id; document_versions.version_number; document_versions.file_ref; document_versions.kind; document_versions.note; document_versions.original_filename; document_versions.mime_type; document_versions.byte_size; document_versions.checksum_sha256; document_versions.created_by; document_versions.created_at; table:documents; documents.id; documents.title; documents.contract_id; documents.created_by; documents.created_at; documents.updated_at","","","false","false","false","packages/db/migrations/0029_documents.sql"
"30","0030_document_description","1786693131336","true","PASS","documents.description","","","false","false","false","packages/db/migrations/0030_document_description.sql"
"31","0031_documents_designations","1786697971001","true","PASS","contracts.primary_document_id; documents.executed_version_id","","","false","false","false","packages/db/migrations/0031_documents_designations.sql"
"32","0032_document_archive","1786700413069","true","PASS","documents.archived_at","","","false","false","false","packages/db/migrations/0032_document_archive.sql"
"33","0033_document_confidential","1786703174841","true","PASS","documents.is_confidential","","","false","false","false","packages/db/migrations/0033_document_confidential.sql"
"34","0034_document_version_text","1786740142507","true","PASS","table:document_version_text; document_version_text.version_id; document_version_text.state; document_version_text.source; document_version_text.text; document_version_text.created_at; document_version_text.updated_at","","","false","false","false","packages/db/migrations/0034_document_version_text.sql"
"35","0035_document_version_rendition","1786743755409","true","PASS","table:document_version_rendition; document_version_rendition.version_id; document_version_rendition.state; document_version_rendition.file_ref; document_version_rendition.byte_size; document_version_rendition.created_at; document_version_rendition.updated_at","","","false","false","false","packages/db/migrations/0035_document_version_rendition.sql"
"36","0036_document_version_email_body","1786747156387","true","PASS","","","","false","false","false","packages/db/migrations/0036_document_version_email_body.sql"
"37","0037_lyrical_madelyne_pryor","1786788328611","true","PASS","table:document_folders; document_folders.id; document_folders.contract_id; document_folders.parent_id; document_folders.name; document_folders.created_at; document_folders.updated_at","","","false","false","false","packages/db/migrations/0037_lyrical_madelyne_pryor.sql"
"38","0038_document_folder_id","1786792119035","true","PASS","documents.folder_id","","","false","false","false","packages/db/migrations/0038_document_folder_id.sql"
"39","0039_approver_groups","1786819496501","true","PASS","table:approver_group_members; approver_group_members.group_id; approver_group_members.user_id; approver_group_members.created_at; table:approver_groups; approver_groups.id; approver_groups.name; approver_groups.description; approver_groups.archived_at; approver_groups.created_at; approver_groups.updated_at","","","false","false","false","packages/db/migrations/0039_approver_groups.sql"
"40","0040_contract_approvals","1786824011634","true","PASS","table:contract_approvals; contract_approvals.id; contract_approvals.contract_id; contract_approvals.approver_id; contract_approvals.source; contract_approvals.group_id; contract_approvals.status; contract_approvals.note; contract_approvals.requested_by; contract_approvals.decided_at; contract_approvals.created_at; contract_approvals.updated_at","","","false","false","false","packages/db/migrations/0040_contract_approvals.sql"
"41","0041_approval_enum_checks","1786852805859","true","PASS","","","","false","false","false","packages/db/migrations/0041_approval_enum_checks.sql"
